source slot; source well; destination slot; destination well;volume
1;A3;8;A3;20
1;A4;8;A4;20
1;A5;8;A5;20
1;A6;8;A6;20
1;A7;8;A7;20
1;A8;8;A8;20
1;A9;8;A9;20
1;A10;8;A10;20
1;A11;8;A11;20
1;A12;8;A12;20
1;A13;8;A13;20
1;A14;8;A14;20
1;A15;8;A15;20
1;A16;8;A16;20
1;A17;8;A17;20
1;A18;8;A18;20
1;A19;8;A19;20
1;A20;8;A20;20
1;A21;8;A21;20
1;A22;8;A22;20
1;B3;8;B3;20
1;B4;8;B4;20
1;B5;8;B5;20
1;B6;8;B6;20
1;B7;8;B7;20
1;B8;8;B8;20
1;B9;8;B9;20
1;B10;8;B10;20
1;B11;8;B11;20
1;B12;8;B12;20
1;B13;8;B13;20
1;B14;8;B14;20
1;B15;8;B15;20
1;B16;8;B16;20
1;B17;8;B17;20
1;B18;8;B18;20
1;B19;8;B19;20
1;B20;8;B20;20
1;B21;8;B21;20
1;B22;8;B22;20
1;C3;8;C3;20
1;C4;8;C4;20
1;C5;8;C5;20
1;C6;8;C6;20
1;C7;8;C7;20
1;C8;8;C8;20
1;C9;8;C9;20
1;C10;8;C10;20
1;C11;8;C11;20
1;C12;8;C12;20
1;C13;8;C13;20
1;C14;8;C14;20
1;C15;8;C15;20
1;C16;8;C16;20
1;C17;8;C17;20
1;C18;8;C18;20
1;C19;8;C19;20
1;C20;8;C20;20
1;C21;8;C21;20
1;C22;8;C22;20
1;D3;8;D3;20
1;D4;8;D4;20
1;D5;8;D5;20
1;D6;8;D6;20
1;D7;8;D7;20
1;D8;8;D8;20
1;D9;8;D9;20
1;D10;8;D10;20
1;D11;8;D11;20
1;D12;8;D12;20
1;D13;8;D13;20
1;D14;8;D14;20
1;D15;8;D15;20
1;D16;8;D16;20
1;D17;8;D17;20
1;D18;8;D18;20
1;D19;8;D19;20
1;D20;8;D20;20
1;D21;8;D21;20
1;D22;8;D22;20
1;E3;8;E3;20
1;E4;8;E4;20
1;E5;8;E5;20
1;E6;8;E6;20
1;E7;8;E7;20
1;E8;8;E8;20
1;E9;8;E9;20
1;E10;8;E10;20
1;E11;8;E11;20
2;A3;8;E12;20
2;A4;8;E13;20
2;A5;8;E14;20
2;A6;8;E15;20
2;A7;8;E16;20
2;A8;8;E17;20
2;A9;8;E18;20
2;A10;8;E19;20
2;A11;8;E20;20
2;A12;8;E21;20
2;A13;8;E22;20
2;A14;8;F3;20
2;A15;8;F4;20
2;A16;8;F5;20
2;A17;8;F6;20
2;A18;8;F7;20
2;A19;8;F8;20
2;A20;8;F9;20
2;A21;8;F10;20
2;A22;8;F11;20
2;B3;8;F12;20
2;B4;8;F13;20
2;B5;8;F14;20
2;B6;8;F15;20
2;B7;8;F16;20
2;B8;8;F17;20
2;B9;8;F18;20
2;B10;8;F19;20
2;B11;8;F20;20
2;B12;8;F21;20
2;B13;8;F22;20
2;B14;8;G3;20
2;B15;8;G4;20
2;B16;8;G5;20
2;B17;8;G6;20
2;B18;8;G7;20
2;B19;8;G8;20
2;B20;8;G9;20
2;B21;8;G10;20
2;B22;8;G11;20
2;C3;8;G12;20
2;C4;8;G13;20
2;C5;8;G14;20
2;C6;8;G15;20
2;C7;8;G16;20
2;C8;8;G17;20
2;C9;8;G18;20
2;C10;8;G19;20
2;C11;8;G20;20
2;C12;8;G21;20
2;C13;8;G22;20
2;C14;8;H3;20
2;C15;8;H4;20
2;C16;8;H5;20
2;C17;8;H6;20
2;C18;8;H7;20
2;C19;8;H8;20
2;C20;8;H9;20
2;C21;8;H10;20
2;C22;8;H11;20
2;D3;8;H12;20
2;D4;8;H13;20
2;D5;8;H14;20
2;D6;8;H15;20
2;D7;8;H16;20
2;D8;8;H17;20
2;D9;8;H18;20
2;D10;8;H19;20
2;D11;8;H20;20
2;D12;8;H21;20
3;A3;8;H22;20
3;A4;8;I3;20
3;A5;8;I4;20
3;A6;8;I5;20
3;A7;8;I6;20
3;A8;8;I7;20
3;A9;8;I8;20
3;A10;8;I9;20
3;A11;8;I10;20
3;A12;8;I11;20
3;A13;8;I12;20
3;A14;8;I13;20
3;A15;8;I14;20
3;A16;8;I15;20
3;A17;8;I16;20
3;A18;8;I17;20
3;A19;8;I18;20
3;A20;8;I19;20
3;A21;8;I20;20
3;A22;8;I21;20
3;B3;8;I22;20
3;B4;8;J3;20
3;B5;8;J4;20
3;B6;8;J5;20
3;B7;8;J6;20
3;B8;8;J7;20
3;B9;8;J8;20
3;B10;8;J9;20
3;B11;8;J10;20
3;B12;8;J11;20
3;B13;8;J12;20
3;B14;8;J13;20
3;B15;8;J14;20
3;B16;8;J15;20
3;B17;8;J16;20
3;B18;8;J17;20
3;B19;8;J18;20
3;B20;8;J19;20
3;B21;8;J20;20
3;B22;8;J21;20
3;C3;8;J22;20
4;A3;8;K3;20
4;A4;8;K4;20
5;A3;8;K5;20
5;A4;8;K6;20
5;A5;8;K7;20
5;A6;8;K8;20
5;A7;8;K9;20
5;A8;8;K10;20
5;A9;8;K11;20
5;A10;8;K12;20
5;A11;8;K13;20
5;A12;8;K14;20
5;A13;8;K15;20
5;A14;8;K16;20
5;A15;8;K17;20
5;A16;8;K18;20
5;A17;8;K19;20
5;A18;8;K20;20
6;A3;8;K21;20
6;A4;8;K22;20
6;A5;8;L3;20
6;A6;8;L4;20
